locality,haplotype,sex,SL(mm),fifth_fourth_ratio,pelvic_ratio,fin_membrane,branches
Papua New Guinea,east,male,17.9,0.79,0.195531,1,2
Papua New Guinea,east,male,14.5,0.5,0.275862,1,2
Papua New Guinea,east,female,16.2,0.5,0.216049,1,2
Palau,west,male,17.9,0.75,0.22905,0.5,6
Papua New Guinea,east,female,16.5,0.75,0.309091,1,2
Papua New Guinea,east,male,12.2,0.38,0.311475,0.33,3
Palau,west,female,17.8,0.46,0.275281,0.5,6
Palau,west,male,13.9,0.46,0.330935,0.5,4
Palau,west,male,14.1,0.5,0.312057,0.5,3
Palau,west,male,16,0.5,0.2875,0.5,2
Palau,west,male,14.4,0.5,0.319444,0.5,2
Palau,west,male,14.1,0.33,0.333333,0.5,4
Palau,west,female,17.8,0.38,0.252809,0.5,4
Palau,west,male,14.9,0.44,0.302013,0.5,4
Palau,west,male,13.5,0.47,0.318519,0.5,6
Palau,west,female,14.2,0.4,0.302817,0.5,3
Palau,west,male,14.4,0.32,0.256944,0.33,3
Palau,west,female,12,0.48,0.333333,0.5,4
Palau,west,female,11.3,0.19,0.327434,0.5,4
Palau,west,female,16.5,0.45,0.284848,0.5,5
Palau,west,male,9.9,0.38,0.292929,0.5,2
Palau,west,male,14.3,0.49,0.286713,0.5,3
Palau,west,female,13.7,0.33,0.328467,0.33,3
Palau,west,female,14,0.38,0.285714,0.33,2
Palau,west,male,11.9,0.24,0.319328,0.33,3
Palau,west,female,11.9,0.34,0.294118,0.33,4
Palau,west,male,12.6,0.34,0.325397,0.33,4
Palau,west,male,11.7,0.32,0.316239,0.33,3
Papua New Guinea,east,female,13.9,0.29,0.302158,0.33,2
Papua New Guinea,east,male,16,0.43,0.2625,0.5,2
Papua New Guinea,east,female,14.6,0.44,0.294521,0.33,4
Papua New Guinea,east,male,12.4,0.24,0.306452,0.33,3
Papua New Guinea,east,female,15.1,0.53,0.298013,0.33,3
Papua New Guinea,east,male,19.2,0.49,0.255208,0.75,6
Papua New Guinea,east,male,17.3,0.44,0.289017,0.75,4
Papua New Guinea,east,male,12,0.42,0.316667,0.75,2
Papua New Guinea,east,female,13.8,0.39,0.275362,0.75,3
Papua,west,female,11.6,0.36,0.310345,0.33,6
Brunei,west,,9.5,0.44,0.284211,0.75,2
Papua,west,female,12.1,0.26,0.280992,0.75,4
Papua,west,female,12.7,0.45,0.259843,0.75,3
Raja Ampat,west,female,13,0.33,0.253846,0.75,5
Raja Ampat,west,female,13.4,0.49,0.276119,0.75,3
